Brand,Manufacture_Year,Body_Type,Fuel_Type,Transmission,Engine_CC,Horsepower,Mileage_km_per_l,Price_USD,Manufacturing_Country
Mercedes,2006,SUV,Petrol,Manual,4089,547,17,73407,USA
Nissan,2023,Coupe,Petrol,Automatic,4618,167,25,79370,USA
Nissan,2007,Hatchback,Diesel,Manual,1802,110,16,76549,China
Nissan,2013,Coupe,Petrol,Manual,1835,373,16,48722,USA
Hyundai,2009,Hatchback,Hybrid,Automatic,2332,145,28,83265,UK
Tesla,2012,Coupe,Diesel,Automatic,2124,321,19,63134,UK
Audi,2011,Hatchback,Petrol,Automatic,4527,342,29,74241,Japan
Tesla,2016,SUV,Diesel,Automatic,1729,309,20,54364,China
Audi,2017,Hatchback,Hybrid,Manual,1561,470,12,65750,Germany
Honda,2020,Sedan,Electric,Manual,4254,116,17,8511,South Korea
Ford,2025,Coupe,Petrol,Automatic,3426,339,17,22948,Japan
Tesla,2009,Coupe,Diesel,Manual,1215,421,14,35738,Germany
Tesla,2013,Pickup,Electric,Manual,4774,512,15,57947,China
Audi,2019,Sedan,Petrol,Manual,3057,215,15,20195,Japan
Audi,2013,Pickup,Electric,Manual,2637,308,27,100638,Germany
Toyota,2020,SUV,Hybrid,Automatic,3384,126,30,109313,China
BMW,2025,SUV,Petrol,Manual,1001,265,20,78610,China
Tesla,2014,Coupe,Diesel,Automatic,3900,389,27,58073,Germany
Nissan,2020,Sedan,Hybrid,Automatic,1603,165,17,56037,Japan
Tesla,2013,Coupe,Hybrid,Automatic,4568,573,14,117420,Japan
Audi,2010,SUV,Petrol,Automatic,4652,296,28,36761,China
Toyota,2005,Sedan,Electric,Automatic,3287,349,18,104852,USA
Kia,2013,Sedan,Hybrid,Manual,2294,507,14,111964,USA
Tesla,2019,Coupe,Hybrid,Manual,1683,123,30,110968,South Korea
BMW,2022,Coupe,Hybrid,Automatic,1235,115,29,48361,China
Mercedes,2020,Coupe,Hybrid,Automatic,1361,335,30,113889,UK
Nissan,2019,Coupe,Electric,Automatic,4439,273,15,51466,Japan
BMW,2020,SUV,Hybrid,Automatic,3523,330,29,118590,South Korea
Mercedes,2021,Sedan,Diesel,Manual,2041,484,16,116822,Germany
BMW,2017,SUV,Electric,Manual,4776,350,26,57663,USA
Honda,2014,Coupe,Electric,Manual,3935,437,29,36963,Japan
Ford,2021,Sedan,Diesel,Automatic,3117,454,28,10169,USA
Ford,2020,Hatchback,Electric,Automatic,4147,189,27,90223,Japan
Audi,2006,Hatchback,Diesel,Automatic,1175,368,17,40145,China
Kia,2012,Sedan,Diesel,Manual,2609,146,25,16605,Germany
Tesla,2005,SUV,Hybrid,Manual,1169,453,21,26839,Germany
Toyota,2007,Hatchback,Hybrid,Manual,2244,590,26,91023,UK
Honda,2012,Pickup,Petrol,Automatic,3805,165,29,51724,South Korea
Honda,2021,Pickup,Diesel,Manual,2051,250,24,107267,Japan
Nissan,2024,Pickup,Diesel,Manual,4435,454,20,119093,Germany
Audi,2008,SUV,Diesel,Automatic,4765,575,16,8260,USA
Tesla,2021,SUV,Electric,Manual,4144,410,10,45140,USA
Ford,2005,Hatchback,Electric,Automatic,2457,513,13,100791,China
Kia,2013,Hatchback,Electric,Manual,2183,500,11,53199,Japan
Ford,2020,Hatchback,Hybrid,Automatic,1247,572,30,49454,USA
Toyota,2012,SUV,Diesel,Manual,1500,423,22,21924,Japan
Ford,2025,Pickup,Petrol,Automatic,2721,426,13,74432,Japan
BMW,2005,Coupe,Petrol,Manual,3047,271,14,47028,Japan
Tesla,2018,Pickup,Hybrid,Manual,3219,597,14,76535,UK
Hyundai,2021,SUV,Petrol,Automatic,4619,93,26,10305,Japan
Ford,2012,Pickup,Diesel,Manual,2729,372,22,30006,China
Mercedes,2006,SUV,Diesel,Automatic,2720,488,13,41727,Japan
Ford,2020,Pickup,Diesel,Automatic,4750,401,30,53244,China
Nissan,2018,Sedan,Petrol,Manual,4467,219,15,76820,China
Nissan,2010,SUV,Hybrid,Manual,1356,336,17,34660,China
Honda,2007,SUV,Electric,Automatic,3675,227,21,61620,Japan
Ford,2006,Hatchback,Petrol,Automatic,2068,390,15,89666,USA
Mercedes,2014,Coupe,Petrol,Automatic,2449,398,23,7376,UK
Hyundai,2019,Hatchback,Electric,Manual,4759,325,26,15533,UK
Tesla,2016,Coupe,Diesel,Automatic,3692,241,16,26030,Japan
Kia,2017,Coupe,Hybrid,Automatic,2268,420,21,94338,USA
Toyota,2011,Sedan,Diesel,Automatic,4196,307,22,107140,South Korea
Toyota,2010,Coupe,Petrol,Manual,3486,169,17,97963,South Korea
Audi,2012,Sedan,Diesel,Automatic,3388,569,18,89404,USA
Hyundai,2010,SUV,Electric,Automatic,4407,92,30,8438,UK
BMW,2009,Coupe,Diesel,Automatic,4902,183,11,29850,Germany
Hyundai,2022,Sedan,Petrol,Manual,2563,499,16,7703,Germany
Ford,2024,Hatchback,Diesel,Automatic,3662,469,20,117850,South Korea
Mercedes,2006,SUV,Hybrid,Manual,3474,158,11,86719,Japan
Nissan,2010,SUV,Diesel,Automatic,3756,576,11,63738,South Korea
Kia,2010,Sedan,Diesel,Manual,4042,557,29,29558,South Korea
BMW,2019,Sedan,Electric,Automatic,1733,87,16,75514,UK
Nissan,2010,Coupe,Hybrid,Automatic,4469,348,22,106739,Germany
Tesla,2023,Coupe,Petrol,Automatic,1815,96,15,29000,USA
Ford,2014,Hatchback,Electric,Automatic,3659,268,25,76983,Germany
Kia,2015,Pickup,Diesel,Automatic,2443,243,16,119587,South Korea
Nissan,2012,Sedan,Petrol,Manual,2589,431,23,73201,Germany
BMW,2017,SUV,Diesel,Automatic,4899,124,13,28588,South Korea
Tesla,2018,Pickup,Petrol,Automatic,3224,503,14,119258,China
