position,age,market_value,country_from,league_from,club_from,country_to,league_to,club_to,fee
Centre-Forward,21,150,Germany,Bundesliga,Borussia Dortmund,England,Premier League,Manchester City,60
Right Winger,22,35,Netherlands,Eredivisie,Ajax Amsterdam,England,Premier League,Manchester United,95
Centre-Back,21,40,England,Premier League,Leicester City,England,Premier League,Chelsea FC,80
Defensive Midfield,22,60,Monaco,Ligue 1,AS Monaco,Spain,LaLiga,Real Madrid,80
Centre-Forward,23,55,Portugal,Liga Portugal,SL Benfica,England,Premier League,Liverpool FC,75
Defensive Midfield,30,40,Spain,LaLiga,Real Madrid,England,Premier League,Manchester United,70
Centre-Forward,22,30,Spain,LaLiga,Real Sociedad,England,Premier League,Newcastle United,70
Centre-Back,22,70,Italy,Serie A,Juventus FC,Germany,Bundesliga,Bayern Munich,67
Left Winger,27,70,England,Premier League,Manchester City,England,Premier League,Chelsea FC,56
Left Winger,30,70,England,Premier League,Liverpool FC,Germany,Bundesliga,Bayern Munich,32
Centre-Forward,29,70,England,Premier League,Chelsea FC,Italy,Serie A,Inter Milan,8
Left-Back,24,28,England,Premier League,Brighton & Hove Albion,England,Premier League,Chelsea FC,65
Right Winger,24,65,Italy,Serie A,ACF Fiorentina,Italy,Serie A,Juventus FC,40
Centre-Back,23,60,Spain,LaLiga,Sevilla FC,Spain,LaLiga,FC Barcelona,50
Centre-Forward,25,48,England,Premier League,Everton FC,England,Premier League,Tottenham Hotspur,58
Right Winger,25,45,England,Premier League,Leeds United,Spain,LaLiga,FC Barcelona,58
Centre-Back,24,32,Netherlands,Eredivisie,Ajax Amsterdam,England,Premier League,Manchester United,57
Central Midfield,26,55,Italy,Serie A,SSC Napoli,France,Ligue 1,Paris Saint-Germain,23
Centre-Forward,25,50,England,Premier League,Manchester City,England,Premier League,Arsenal FC,52
Centre-Back,24,48,Italy,Serie A,Atalanta BC,England,Premier League,Tottenham Hotspur,50
Defensive Midfield,26,50,England,Premier League,Leeds United,England,Premier League,Manchester City,49
Central Midfield,25,50,Spain,LaLiga,Valencia CF,France,Ligue 1,Paris Saint-Germain,18
Central Midfield,29,48,England,Premier League,Manchester United,Italy,Serie A,Juventus FC,free transfer
Centre-Forward,33,45,Germany,Bundesliga,Bayern Munich,Spain,LaLiga,FC Barcelona,45
Central Midfield,23,35,Portugal,Liga Portugal,Sporting CP,England,Premier League,Wolverhampton Wanderers,45
Central Midfield,25,45,Italy,Serie A,AC Milan,Spain,LaLiga,FC Barcelona,free transfer
Attacking Midfield,25,35,France,Ligue 1,Olympique Lyon,England,Premier League,West Ham United,42
Centre-Forward,22,42,France,Ligue 1,OGC Nice,France,Ligue 1,Stade Rennais FC,28
Central Midfield,22,30,Portugal,Liga Portugal,FC Porto,France,Ligue 1,Paris Saint-Germain,41
Centre-Back,25,35,Italy,Serie A,Torino FC,Italy,Serie A,Juventus FC,41
Left-Back,20,40,Portugal,Liga Portugal,Sporting CP,France,Ligue 1,Paris Saint-Germain,38
Left Winger,25,40,Spain,LaLiga,Valencia CF,England,Premier League,Wolverhampton Wanderers,32
Centre-Back,29,40,Spain,LaLiga,Sevilla FC,England,Premier League,Aston Villa,31
Centre-Back,29,40,England,Premier League,Chelsea FC,Spain,LaLiga,Real Madrid,free transfer
Centre-Back,31,35,Italy,Serie A,SSC Napoli,England,Premier League,Chelsea FC,38
Centre-Back,22,30,France,Ligue 1,LOSC Lille,England,Premier League,Newcastle United,37
Centre-Forward,23,30,Italy,Serie A,US Sassuolo,England,Premier League,West Ham United,36
Attacking Midfield,22,25,Portugal,Liga Portugal,FC Porto,England,Premier League,Arsenal FC,35
Centre-Back,26,12,France,Ligue 1,Stade Rennais FC,England,Premier League,West Ham United,35
Left-Back,25,25,England,Premier League,Manchester City,England,Premier League,Arsenal FC,35
Defensive Midfield,20,10,France,Ligue 1,LOSC Lille,England,Premier League,Everton FC,35
Centre-Forward,28,35,Netherlands,Eredivisie,Ajax Amsterdam,Germany,Bundesliga,Borussia Dortmund,31
Right Winger,20,35,Austria,Bundesliga,Red Bull Salzburg,Germany,Bundesliga,Borussia Dortmund,30
Central Midfield,25,35,England,Premier League,Brighton & Hove Albion,England,Premier League,Tottenham Hotspur,29
Centre-Forward,26,35,England,Premier League,Chelsea FC,Germany,Bundesliga,RB Leipzig,20
Central Midfield,20,35,Netherlands,Eredivisie,Ajax Amsterdam,Germany,Bundesliga,Bayern Munich,18
Centre-Back,26,35,Germany,Bundesliga,Bayern Munich,Germany,Bundesliga,Borussia Dortmund,free transfer
Centre-Back,26,35,England,Premier League,Chelsea FC,Spain,LaLiga,FC Barcelona,free transfer
Second Striker,28,35,Italy,Serie A,Juventus FC,Italy,Serie A,AS Roma,free transfer
Centre-Back,22,33,Germany,Bundesliga,SC Freiburg,Germany,Bundesliga,Borussia Dortmund,20
Attacking Midfield,21,25,Austria,Bundesliga,Red Bull Salzburg,England,Premier League,Leeds United,32
Attacking Midfield,21,30,Belgium,Jupiler Pro League,Club Brugge KV,Italy,Serie A,AC Milan,32
Left Winger,24,18,England,Premier League,Tottenham Hotspur,Netherlands,Eredivisie,Ajax Amsterdam,31
Centre-Back,27,30,Germany,Bundesliga,Borussia Dortmund,England,Premier League,Manchester City,17
Defensive Midfield,26,30,England,Premier League,Fulham FC,Italy,Serie A,SSC Napoli,15
Left-Back,24,30,Spain,LaLiga,Atlético de Madrid,England,Premier League,Nottingham Forest,5
Central Midfield,25,30,England,Premier League,Tottenham Hotspur,Italy,Serie A,SSC Napoli,0.5
Left-Back,25,30,Germany,Bundesliga,RB Leipzig,Germany,Bundesliga,TSG 1899 Hoffenheim,loan transfer
Attacking Midfield,22,11,England,Premier League,Wolverhampton Wanderers,England,Premier League,Nottingham Forest,29
Central Midfield,24,28,France,Ligue 1,LOSC Lille,France,Ligue 1,Paris Saint-Germain,15
Defensive Midfield,27,28,England,Premier League,Wolverhampton Wanderers,England,Premier League,Aston Villa,15
Second Striker,22,28,Italy,Serie A,US Sassuolo,Italy,Serie A,SSC Napoli,5
Centre-Forward,20,28,France,Ligue 1,Stade Reims,France,Ligue 1,Paris Saint-Germain,loan transfer
Defensive Midfield,22,27,Austria,Bundesliga,Red Bull Salzburg,Monaco,Ligue 1,AS Monaco,15
Central Midfield,24,27,Germany,Bundesliga,VfL Wolfsburg,Germany,Bundesliga,RB Leipzig,12
Defensive Midfield,25,27,Italy,Serie A,Juventus FC,England,Premier League,Chelsea FC,3
Left-Back,24,20,Germany,Bundesliga,TSG 1899 Hoffenheim,Germany,Bundesliga,RB Leipzig,26
Left Winger,23,25,Netherlands,Eredivisie,Feyenoord Rotterdam,England,Premier League,Leeds United,25
Centre-Back,24,25,Italy,Serie A,Juventus FC,Italy,Serie A,Atalanta BC,20
Defensive Midfield,26,25,Portugal,Liga Portugal,Sporting CP,England,Premier League,Fulham FC,20
Centre-Forward,25,25,Germany,Bundesliga,VfB Stuttgart,England,Premier League,Wolverhampton Wanderers,18
Central Midfield,23,25,England,Premier League,Arsenal FC,France,Ligue 1,Olympique Marseille,11
Right-Back,22,25,England,Premier League,Manchester City,Portugal,Liga Portugal,Sporting CP,8
